variables,units,values,description
floatingse.member0.s_all,,"[ 0.00000000e+00  1.42857143e-03  1.00000000e-01  9.87000000e-01
  9.98571429e-01  1.00000000e+00 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03]",
floatingse.member0.nodes_xyz,m,"[[    0.        0.      -20.   ]
 [    0.        0.      -19.95 ]
 [    0.        0.      -16.5  ]
 [    0.        0.       14.545]
 [    0.        0.       14.95 ]
 [    0.        0.       15.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]
 [-9999.    -9999.    -9999.   ]]",
floatingse.Uref,m/s,[19.71393401],
floatingse.zref,m,[150.],
floatingse.member0.env.z,m,[-20.    -16.5    14.545  15.   ],
floatingse.z0,m,[0.],
floatingse.shearExp,,[0.12],
floatingse.member0.env.windLoads.U,m/s,[ 0.          0.         14.89937306 14.95454826],
floatingse.member0.env.d,m,[10.42629276 10.41871663  9.8651169   9.29031289],
floatingse.beta_wind,deg,[0.],
